UBERON_0035298;tuberculum sellae
UBERON_0035849;orbital margin
UBERON_0011576;supraorbital ridge
UBERON_0035848;infraorbital margin
UBERON_0035964;promontory of tympanic cavity
UBERON_0006723;cochlear modiolus
UBERON_0006724;osseus spiral lamina
UBERON_0014624;basis modioli
UBERON_0000401;mandibular ramus
UBERON_0004657;mandible condylar process
UBERON_0004658;mandible head
UBERON_0004660;mandible coronoid process
UBERON_0004661;mandible temporal crest
UBERON_0001269;acetabular part of hip bone
UBERON_0006802;acetabular rim
UBERON_0007830;pelvic girdle bone/zone
UBERON_0001274;ischium
UBERON_0009000;ischial spine
UBERON_0014430;sciatic notch
UBERON_0014411;greater sciatic notch
UBERON_0014436;lesser sciatic notch
UBERON_0014441;ischial ramus
UBERON_0014443;inferior ischial ramus
UBERON_0014442;superior ischial ramus
UBERON_0001275;pubis
UBERON_0003699;pubic symphysis
UBERON_0014444;pubic ramus
UBERON_0014438;superior pubic ramus
UBERON_0014439;inferior pubic ramus
UBERON_0001273;ilium
UBERON_0010746;iliac blade
UBERON_0010747;body of ilium
UBERON_0011015;iliac fossa
UBERON_0013707;iliac spine
UBERON_0013712;anterior iliac spine
UBERON_0013708;anterior superior iliac spine
UBERON_0013709;anterior inferior iliac spine
UBERON_0013713;posterior iliac spine
UBERON_0013710;posterior superior iliac spine
UBERON_0013711;posterior inferior iliac spine
UBERON_0001272;innominate bone
UBERON_0014440;ischiopubic ramus
UBERON_0014445;acetabular fossa
UBERON_0014446;acetabular notch
UBERON_0006722;manubrium of malleus
UBERON_0001694;petrous part of temporal bone
UBERON_0001839;bony labyrinth
UBERON_0001844;cochlea
CL_0002315;supporting cell of cochlea
CL_0000634;Claudius cell
CL_0002168;border cell of cochlea
CL_0002172;interdental cell of cochlea
CL_0002490;organ of Corti supporting cell
CL_0000633;Hensen cell
CL_0002165;phalangeal cell
CL_0000635;Deiter's cell
CL_0005015;inner phalangeal cell
CL_1000191;pillar cell
CL_0002163;internal pillar cell of cochlea
CL_0002164;external pillar cell of cochlea
UBERON_0001863;scala vestibuli
UBERON_0001864;scala tympani
UBERON_0002295;scala media
UBERON_0011078;endolymphatic space
UBERON_0006106;cochlear canal
UBERON_0002819;apex of cochlea
UBERON_0006586;otolymph
UBERON_0001845;perilymph
UBERON_0001852;endolymph
UBERON_0007223;osseus cochlea
UBERON_0006495;osseus cochlear canal
UBERON_0005236;osseus labyrinth vestibule
UBERON_0002279;vestibular aqueduct
UBERON_0002501;oval window
UBERON_0002502;round window of inner ear
UBERON_0003995;subarcuate fossa
UBERON_0005411;bony otic capsule
UBERON_0011130;temporomandibular joint primordium
UBERON_0001755;distal part of styloid process of temporal bone
UBERON_0002496;stapes base
UBERON_0010273;zone of hyoid bone
UBERON_0003999;hyoid bone body
UBERON_0003997;hyoid bone greater horn
UBERON_0003998;hyoid bone lesser horn
UBERON_0004108;clivus of occipital bone
UBERON_0004546;cribriform plate
UBERON_0004651;scapula spine
UBERON_0005055;zone of long bone
UBERON_0000144;trochlea of humerus
UBERON_0000980;trochanter
UBERON_0002504;lesser trochanter
UBERON_0002503;greater trochanter
UBERON_0008786;third trochanter
UBERON_0004769;diaphysis
UBERON_0001010;diaphysis of ulna
UBERON_0013748;ulnar metaphysis
UBERON_0001028;diaphysis of radius
UBERON_0004652;humerus diaphysis
UBERON_0002498;deltopectoral crest
UBERON_0006862;diaphysis of femur
UBERON_0006865;metaphysis of femur
UBERON_0006863;proximal metaphysis of femur
UBERON_0006864;distal metaphysis of femur
UBERON_0013279;diaphysis of fibula
UBERON_0013280;diaphysis of tibia
UBERON_0013752;diaphysis of metacarpal bone
UBERON_0013774;diaphysis of metatarsal bone
UBERON_0001438;metaphysis
UBERON_0004377;distal metaphysis
UBERON_0004378;proximal metaphysis
UBERON_0013749;metaphysis of humerus
UBERON_0013750;metaphysis of tibia
UBERON_0013751;metaphysis of radius
UBERON_0016928;metaphysis of fibula
UBERON_0002516;epiphyseal plate
UBERON_0016425;epiphyseal plate of radius
UBERON_0006768;epiphyseal line
UBERON_0006861;diaphysis proper
UBERON_0016423;compact bone of diaphysis
UBERON_0001012;head of radius
UBERON_0009989;condyle of tibia
UBERON_0009991;lateral condyle of tibia
UBERON_0009990;medial condyle of tibia
UBERON_0009980;condyle of femur
UBERON_0009984;medial condyle of femur
UBERON_0009987;medial epicondyle of femur
UBERON_0009985;lateral condyle of femur
UBERON_0009986;lateral epicondyle of femur
UBERON_0001437;epiphysis
UBERON_0004379;distal epiphysis
UBERON_0004404;distal epiphysis of humerus
UBERON_0006806;entepicondyle of humerus
UBERON_0006807;ectepicondyle of humerus
UBERON_0009988;condyle of humerus
UBERON_0010853;capitulum of humerus
UBERON_0012130;olecranon fossa
UBERON_0004405;distal epiphysis of tibia
UBERON_0004406;distal epiphysis of femur
UBERON_0004407;distal epiphysis of radius
UBERON_0004408;distal epiphysis of ulna
UBERON_0011575;styloid process of ulna
UBERON_0004410;distal epiphysis of fibula
UBERON_0012291;lateral malleolus of fibula
UBERON_0004448;distal epiphysis of phalanx
UBERON_0004409;distal epiphysis of phalanx of manus
UBERON_0014886;distal epiphysis of distal phalanx of manual digit
UBERON_0014881;distal epiphysis of distal phalanx of manual digit 1
UBERON_0014882;distal epiphysis of distal phalanx of manual digit 2
UBERON_0014883;distal epiphysis of distal phalanx of manual digit 3
UBERON_0014884;distal epiphysis of distal phalanx of manual digit 4
